"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
17, 2240.88699320564, 489.534086299746, 2240.88699320564, 2293.73453955935, 38.0409758860819, 75.81922329893, 38.0409758860819
18, 2645.9383156287, 731.706971746389, 2645.9383156287, 2745.24765050702, 52.5836651139874, 105.107262637659, 52.5836651139874
19, 2761.66264403209, 790.801316231057, 2761.66264403209, 2872.65509262687, 56.5683015246377, 113.119007454063, 56.5683015246377
20, 2680.51716666218, 739.046728665132, 2761.66264403209, 2872.65509262687, 53.2865227572501, 106.510628652635, 56.5683015246377
21, 2577.52700367742, 673.624390685184, 2761.66264403209, 2872.65509262687, 49.2979023560039, 98.478357549845, 56.5683015246377
22, 2433.12011753231, 589.146274394547, 2761.66264403209, 2872.65509262687, 44.0530722961669, 87.9212621568739, 56.5683015246377
23, 2219.3036961359, 455.05851242869, 2761.66264403209, 2872.65509262687, 36.9608362018077, 73.648200326123, 56.5683015246377
24, 1950.3431515951, 308.992561470604, 2761.66264403209, 2872.65509262687, 29.4652682500076, 58.5687834452229, 56.5683015246377
25, 1756.50536515916, 189.760871907202, 2761.66264403209, 2872.65509262687, 24.6104806374496, 48.8082660079201, 56.5683015246377
26, 1644.67295889952, 124.796059365593, 2761.66264403209, 2872.65509262687, 22.0999155101252, 43.7658388985236, 56.5683015246377
27, 1585.46839534025, 88.7472274848524, 2761.66264403209, 2872.65509262687, 20.8732340798081, 41.3009616939952, 56.5683015246377
28, 1570.10662163049, 79.4123902695099, 2761.66264403209, 2872.65509262687, 20.5650108327682, 40.681517605917, 56.5683015246377
29, 1600.93001125566, 98.1578232047325, 2761.66264403209, 2872.65509262687, 21.1870841054392, 41.9314077197328, 56.5683015246377
30, 1715.54791005852, 168.064443482878, 2761.66264403209, 2872.65509262687, 23.6528291467956, 46.8870357639653, 56.5683015246377
31, 1928.36374411713, 298.766635588306, 2761.66264403209, 2872.65509262687, 28.8672234245505, 57.3703415060242, 56.5683015246377
32, 2135.73699182195, 423.935446063698, 2761.66264403209, 2872.65509262687, 34.7572175512386, 69.2133889113539, 56.5683015246377
33, 2277.77094076993, 509.294767844195, 2761.66264403209, 2872.65509262687, 39.2549404845944, 78.2792806335024, 56.5683015246377
34, 2446.20316410048, 608.48839222905, 2761.66264403209, 2872.65509262687, 45.038664444361, 89.9193100761624, 56.5683015246377
35, 2598.44005123939, 701.509288651135, 2761.66264403209, 2872.65509262687, 50.7194557803804, 101.353560247822, 56.5683015246377
36, 2558.24272254674, 675.996158709802, 2761.66264403209, 2872.65509262687, 49.1758499886993, 98.2457828126026, 56.5683015246377
37, 2497.07985590161, 637.268509130462, 2761.66264403209, 2872.65509262687, 46.8843065390016, 93.6320613800135, 56.5683015246377
38, 2427.61188148306, 593.399758037176, 2761.66264403209, 2872.65509262687, 44.3681022690932, 88.5669074232163, 56.5683015246377
39, 2387.16489864709, 567.908586619906, 2761.66264403209, 2872.65509262687, 42.9455728435696, 85.7038861560064, 56.5683015246377
40, 2334.37854166653, 534.727607848811, 2761.66264403209, 2872.65509262687, 41.1336998071055, 82.0567358846015, 56.5683015246377
41, 2427.34176414366, 593.230351760602, 2761.66264403209, 2872.65509262687, 44.3584130636251, 88.5472080196766, 56.5683015246377
42, 2799.08592501358, 811.374326071281, 2799.08592501358, 2914.31129301877, 58.1214848597535, 116.267487935904, 58.1214848597535
43, 2899.62772653128, 875.846652502958, 2899.62772653128, 3029.01771390819, 62.4266006631403, 124.938375482861, 62.4266006631403
