Time,PV1,PV2,PV3
10.66666667,107.5,0.738,204.8
10.66805556,107.4,0.734,195.2
10.66944444,107.6,0.734,130.1
10.67083333,69.55,0.745,105.6
10.67222222,60.35,0.749,105.5
10.67361111,57.83,0.766,101.6
10.675,45.6,0.795,93.2
10.67638889,41.98,0.765,81.6
10.67777778,39.29,0.791,200.4
10.67916667,108.7,0.756,211.8
10.68055556,109.1,0.755,182.2
10.68194444,76.4,0.709,187.8
10.68333333,105.9,0.762,218.3
10.68472222,93.6,0,145.4
10.68611111,60.09,0.743,154.1
10.6875,79.7,0.755,119
10.68888889,56.64,0.787,150.6
10.69027778,58.87,0.774,210
10.69166667,112.4,0.72,216.2
10.69305556,106.5,0.685,216.7
10.69444444,111.2,0.685,213.7
10.69583333,109.6,0.756,213.1
10.69722222,109.9,0.691,211.4
10.69861111,108.3,0.754,208.9
10.7,107.6,0.746,212.3
10.70138889,109.2,0.754,210.4
10.70277778,107.4,0.746,172.3
10.70416667,92.8,0.721,88.1
10.70555556,34.43,0.76,75
10.70694444,33.55,0.797,76.8
10.70833333,35.64,0.8,106.5
10.70972222,67.29,0.813,127.9
10.71111111,56.16,0.722,119.1
10.7125,46.24,0.788,105.4
10.71388889,46.7,0.79,95.4
10.71527778,45.13,0.781,93.1
10.71666667,45.98,0.778,105
10.71805556,51.61,0.76,97
10.71944444,43.26,0.786,88.7
10.72083333,42.61,0.806,86.3
10.72222222,40.04,0.796,86
10.72361111,41.74,0.8,90
10.725,44.07,0.783,93
10.72638889,43.26,0.77,84.9
10.72777778,39.21,0.809,81.1
10.72916667,37.3,0.781,79.5
10.73055556,36.52,0.806,80.7
10.73194444,38.55,0.796,94.3
10.73333333,62.53,0.774,221.2
10.73472222,117.8,0.71,196.1
10.73611111,105.5,0.707,83.8
10.7375,35.38,0.799,93.7
10.73888889,54.17,0.781,174.9
10.74027778,93,0.774,202.2
10.74166667,110.3,0.751,208.7
10.74305556,105.1,0.7,213.7
10.74444444,111.5,0.758,121.3
10.74583333,55.02,0.78,151
10.74722222,98,0.745,210.1
10.74861111,108.7,0.76,208.2
10.75,109.6,0.745,205.3
10.75138889,110,0.748,210.1
10.75277778,108.2,0.759,208.3
10.75416667,109,0.741,198.3
10.75555556,106.9,0.72,210
10.75694444,109.5,0.748,210.3
10.75833333,109.6,0.753,172.6
10.75972222,100.9,0.699,167.2
10.76111111,89.4,0.748,172.3
10.7625,90.3,0.736,202.2
10.76388889,104.2,0.726,178.3
10.76527778,84.1,0.763,137.7
10.76666667,68.52,0.781,139
10.76805556,58.12,0.738,93.1
10.76944444,38.21,0.774,99.1
10.77083333,50.63,0.782,205.6
10.77222222,108.3,0.754,205.3
10.77361111,107,0.728,205.3
10.775,106.6,0.75,208.3
10.77638889,108.1,0.743,101.4
10.77777778,57.03,0.783,198.3
10.77916667,107.8,0.748,88.5
10.78055556,30.52,0,77.6
10.78194444,27.6,0.777,62.25
10.78333333,30.12,0.838,74.1
10.78472222,41.65,0.802,64.23
10.78611111,26.61,0.801,61.83
10.7875,25.58,0.786,62.43
10.78888889,26.43,0.806,69.03
10.79027778,30.28,0.779,97.6
10.79166667,69.48,0.806,206.5
10.79305556,108.5,0.688,205.9
10.79444444,108.7,0.732,204.7
10.79583333,108.2,0.728,204.3
10.79722222,107.5,0.742,202.9
10.79861111,106.6,0.716,202
10.8,106.7,0.717,202.8
10.80138889,107.1,0.72,203.6
10.80277778,107.1,0.721,203.5
10.80416667,106.7,0.739,202.7
10.80555556,106.9,0.72,202.7
10.80694444,106.7,0.718,203.3
10.80833333,106.7,0.736,202.8
10.80972222,106.7,0.719,202.3
10.81111111,106.3,0.719,202.5
10.8125,106.2,0.718,202.8
10.81388889,106.5,0.723,204.4
10.81527778,106.8,0.703,205.9
10.81666667,107.8,0.735,207.1
10.81805556,108,0.738,210.3
10.81944444,106.8,0.761,187.5
10.82083333,99.2,0.751,169.4
10.82222222,65.94,0.793,145.1
10.82361111,48.66,0.771,154.3
10.825,92.5,0.726,183.9
10.82638889,87.5,0.769,174.4
10.82777778,94.5,0.767,208.3
10.82916667,108.2,0.744,210.1
10.83055556,108,0.754,209.5
10.83194444,108.1,0.748,209.5
10.83333333,108,0.749,209.6
10.83472222,108.1,0.75,210.6
10.83611111,108.4,0.751,211.3
10.8375,110.1,0.714,75.2
10.83888889,38.45,0.82,122.4
10.84027778,4.535,0,103.5
10.84166667,55.32,0.794,177.6
